title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
Five Came Back: The Reference Films,TV Show,1945,TV-MA,48,Documentation,['US'],1.0,,,
Taxi Driver,Movie,1976,R,113,Crime,['US'],,tt0075314,8.3,795222.0
Taxi Driver,Movie,1976,R,113,Drama,['US'],,tt0075314,8.3,795222.0
Monty Python and the Holy Grail,Movie,1975,PG,91,Comedy,['GB'],,tt0071853,8.2,530877.0
Monty Python and the Holy Grail,Movie,1975,PG,91,Fantasy,['GB'],,tt0071853,8.2,530877.0
Life of Brian,Movie,1979,R,94,Comedy,['GB'],,tt0079470,8.0,392419.0
The Exorcist,Movie,1973,R,133,Horror,['US'],,tt0070047,8.1,391942.0
Monty Python's Flying Circus,TV Show,1969,TV-14,30,Comedy,['GB'],4.0,tt0063929,8.8,72895.0
Monty Python's Flying Circus,TV Show,1969,TV-14,30,European,['GB'],4.0,tt0063929,8.8,72895.0
Dirty Harry,Movie,1971,R,102,Thriller,['US'],,tt0066999,7.7,153463.0
Dirty Harry,Movie,1971,R,102,Crime,['US'],,tt0066999,7.7,153463.0
Dirty Harry,Movie,1971,R,102,Action,['US'],,tt0066999,7.7,153463.0
My Fair Lady,Movie,1964,G,170,Drama,['US'],,tt0058385,7.8,94121.0
My Fair Lady,Movie,1964,G,170,Music,['US'],,tt0058385,7.8,94121.0
My Fair Lady,Movie,1964,G,170,Romance,['US'],,tt0058385,7.8,94121.0
My Fair Lady,Movie,1964,G,170,Family,['US'],,tt0058385,7.8,94121.0
The Blue Lagoon,Movie,1980,R,104,Romance,['US'],,tt0080453,5.8,69053.0
The Blue Lagoon,Movie,1980,R,104,Drama,['US'],,tt0080453,5.8,69053.0
Bonnie and Clyde,Movie,1967,R,110,Drama,['US'],,tt0061418,7.7,111189.0
Bonnie and Clyde,Movie,1967,R,110,Crime,['US'],,tt0061418,7.7,111189.0
Bonnie and Clyde,Movie,1967,R,110,Action,['US'],,tt0061418,7.7,111189.0
The Professionals,Movie,1966,PG-13,117,Western,['US'],,tt0060862,7.3,16168.0
The Professionals,Movie,1966,PG-13,117,Action,['US'],,tt0060862,7.3,16168.0
The Professionals,Movie,1966,PG-13,117,European,['US'],,tt0060862,7.3,16168.0
The Guns of Navarone,Movie,1961,,158,War,"['US', 'GB']",,tt0054953,7.5,50150.0
The Guns of Navarone,Movie,1961,,158,Action,"['US', 'GB']",,tt0054953,7.5,50150.0
The Guns of Navarone,Movie,1961,,158,Drama,"['US', 'GB']",,tt0054953,7.5,50150.0
Lupin the Third: The Castle of Cagliostro,Movie,1979,PG,100,Comedy,['JP'],,tt0079833,7.6,30277.0
